Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),xg (g),yg (g),zg (g)
190,1620295611683,0.07,-0.558,-0.593
191,1620295611683,0.0,-0.582,-0.57
192,1620295611684,-0.1,-0.53,-0.534
193,1620295611684,0.01,-0.556,-0.576
194,1620295611684,-0.09,-0.572,-0.548
195,1620295611684,0.0,-0.546,-0.58
196,1620295611684,-0.03,-0.589,-0.565
197,1620295611684,-0.09,-0.544,-0.527
198,1620295611684,-0.01,-0.538,-0.57
199,1620295611684,-0.04,-0.571,-0.548
200,1620295611684,-0.03,-0.536,-0.567
201,1620295611685,0.0,-0.593,-0.585
202,1620295611685,-0.09,-0.561,-0.522
203,1620295611685,-0.02,-0.543,-0.572
204,1620295611685,-0.01,-0.576,-0.55
205,1620295611685,-0.07,-0.532,-0.554
206,1620295611685,0.07,-0.584,-0.593
207,1620295611685,-0.09,-0.56,-0.548
208,1620295611685,-0.06,-0.535,-0.562
209,1620295611685,-0.03,-0.572,-0.552
210,1620295611685,-0.07,-0.538,-0.541
211,1620295611685,0.08,-0.569,-0.591
212,1620295611685,-0.03,-0.578,-0.561
213,1620295611685,-0.05,-0.541,-0.561
214,1620295611685,-0.06,-0.577,-0.556
215,1620295611685,-0.1,-0.552,-0.525
216,1620295611685,0.03,-0.542,-0.585
217,1620295611685,0.0,-0.581,-0.574
218,1620295611685,-0.06,-0.536,-0.545
219,1620295611685,-0.01,-0.562,-0.566
220,1620295611685,-0.12,-0.554,-0.529
221,1620295611685,-0.02,-0.534,-0.573
222,1620295611685,0.01,-0.589,-0.568
223,1620295611685,-0.05,-0.56,-0.542
224,1620295611685,0.0,-0.558,-0.574
225,1620295611685,-0.06,-0.556,-0.541
226,1620295611685,-0.05,-0.535,-0.558
227,1620295611685,0.01,-0.588,-0.58
228,1620295611685,-0.07,-0.56,-0.534
229,1620295611685,-0.01,-0.544,-0.577
230,1620295611685,-0.04,-0.56,-0.548
231,1620295611685,-0.1,-0.533,-0.545
232,1620295611685,0.05,-0.571,-0.585
233,1620295611685,-0.06,-0.569,-0.557
234,1620295611685,-0.02,-0.537,-0.564
235,1620295611685,-0.04,-0.571,-0.554
236,1620295611685,-0.07,-0.539,-0.53
237,1620295611685,0.02,-0.551,-0.58
238,1620295611685,-0.02,-0.578,-0.566
239,1620295611685,-0.02,-0.543,-0.564
240,1620295611685,-0.03,-0.584,-0.565
241,1620295611685,-0.09,-0.552,-0.52
242,1620295611685,0.01,-0.531,-0.577
243,1620295611685,0.01,-0.585,-0.566
244,1620295611685,-0.04,-0.543,-0.558
245,1620295611685,0.0,-0.561,-0.585
246,1620295611685,-0.12,-0.541,-0.529
247,1620295611685,-0.03,-0.541,-0.577
248,1620295611685,0.02,-0.591,-0.573
249,1620295611685,-0.04,-0.56,-0.545
250,1620295611685,0.0,-0.557,-0.577
251,1620295611685,-0.07,-0.552,-0.544
252,1620295611685,-0.07,-0.536,-0.557
253,1620295611685,0.02,-0.58,-0.585
254,1620295611685,-0.07,-0.571,-0.539
255,1620295611685,-0.03,-0.536,-0.574
256,1620295611685,-0.03,-0.577,-0.546
257,1620295611685,-0.07,-0.532,-0.543
258,1620295611685,0.02,-0.57,-0.585
259,1620295611685,-0.05,-0.576,-0.557
260,1620295611685,-0.03,-0.537,-0.566
261,1620295611685,-0.05,-0.575,-0.553
262,1620295611685,-0.09,-0.531,-0.534
263,1620295611685,0.02,-0.555,-0.585
264,1620295611685,0.0,-0.59,-0.567
265,1620295611685,-0.06,-0.537,-0.553
266,1620295611685,-0.03,-0.575,-0.562
267,1620295611685,-0.13,-0.544,-0.526
268,1620295611685,0.0,-0.546,-0.576
269,1620295611685,0.02,-0.591,-0.57
270,1620295611685,-0.07,-0.556,-0.543
271,1620295611685,0.01,-0.554,-0.575
272,1620295611685,-0.1,-0.554,-0.543
273,1620295611685,-0.01,-0.544,-0.572
274,1620295611685,0.0,-0.591,-0.579
275,1620295611685,-0.06,-0.566,-0.539
276,1620295611685,-0.01,-0.532,-0.572
277,1620295611685,-0.04,-0.561,-0.551
278,1620295611685,-0.06,-0.536,-0.553
279,1620295611685,0.01,-0.573,-0.586
280,1620295611685,-0.06,-0.569,-0.543
281,1620295611685,-0.05,-0.532,-0.565
282,1620295611685,-0.04,-0.577,-0.544
283,1620295611685,-0.06,-0.525,-0.538
284,1620295611685,0.06,-0.576,-0.583
285,1620295611685,-0.05,-0.57,-0.558
286,1620295611685,-0.04,-0.548,-0.563
287,1620295611685,-0.05,-0.578,-0.553
288,1620295611685,-0.1,-0.54,-0.526
289,1620295611685,0.02,-0.553,-0.581
290,1620295611685,0.01,-0.582,-0.57
291,1620295611685,-0.06,-0.549,-0.546
292,1620295611691,-0.02,-0.566,-0.567
293,1620295611691,-0.13,-0.555,-0.524
294,1620295611691,0.0,-0.545,-0.573
295,1620295611691,0.01,-0.592,-0.57
296,1620295611691,-0.05,-0.561,-0.54
297,1620295611692,0.0,-0.552,-0.578
298,1620295611692,-0.06,-0.563,-0.543
